时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2024-09-24,二	12.67		12.96		12.23		12.81		-0.85%		5.65%		3,223,240	40,663,446	0		0		
2024-09-25,三	12.77		13.50		12.75		12.97		+1.25%		5.85%		2,417,837	31,583,019	0		0		
2024-09-26,四	13.00		13.22		12.75		13.20		+1.77%		3.62%		1,911,221	24,902,833	0		0		
2024-09-27,五	13.48		15.84		13.29		14.80		+12.12%		19.32%		4,552,209	65,766,486	0		0		
2024-09-30,一	16.58		19.24		16.51		19.24		+30.00%		18.45%		8,474,110	155,892,270	0		0		
2024-10-08,二	25.01		25.01		24.00		25.01		+29.99%		5.25%		10,824,107	269,880,600	0		0		
2024-10-09,三	23.00		32.51		22.00		28.60		+14.35%		42.02%		16,568,587	476,205,020	0		0		
2024-10-10,四	26.98		28.62		20.02		23.38		-18.25%		30.07%		9,315,169	229,195,360	0		0		
2024-10-11,五	21.90		27.98		21.00		25.53		+9.20%		29.85%		9,275,836	231,290,140	0		0		
2024-10-14,一	25.13		32.68		23.10		32.22		+26.20%		37.52%		11,427,649	316,537,280	0		0		
2024-10-15,二	29.99		36.00		28.50		28.77		-10.71%		23.28%		12,857,003	413,482,450	0		0		
2024-10-16,三	26.50		29.97		26.28		29.27		+1.74%		12.83%		8,247,024	234,334,160	0		0		
2024-10-17,四	30.50		36.76		30.00		31.20		+6.59%		23.10%		13,123,355	431,413,050	0		0		
2024-10-18,五	30.63		38.38		28.91		33.40		+7.05%		30.35%		13,249,945	431,841,630	0		0		
2024-10-21,一	35.00		39.58		33.46		38.54		+15.39%		18.32%		12,258,261	449,351,800	0		0		
2024-10-22,二	37.00		37.00		30.26		30.91		-19.80%		17.49%		9,666,451	326,558,830	0		0		
2024-10-23,三	31.00		33.30		30.00		30.71		-0.65%		10.68%		6,125,978	193,708,470	0		0		
2024-10-24,四	29.77		32.50		28.87		31.20		+1.60%		11.82%		6,460,105	196,873,710	0		0		
2024-10-25,五	31.17		33.04		29.90		29.92		-4.10%		10.06%		7,521,504	237,676,400	0		0		
2024-10-28,一	29.30		30.22		27.58		29.46		-1.54%		8.82%		4,816,264	139,984,600	0		0		
2024-10-29,二	29.78		33.09		29.78		31.46		+6.79%		11.24%		7,285,559	228,685,620	0		0		
2024-10-30,三	30.77		35.15		29.79		34.63		+10.08%		17.04%		10,020,804	332,563,360	0		0		
2024-10-31,四	36.58		37.50		32.26		32.51		-6.12%		15.13%		8,237,502	279,023,540	0		0		
2024-11-01,五	31.50		32.50		27.30		27.32		-15.96%		16.00%		5,644,331	165,066,750	0		0		
2024-11-04,一	26.90		29.00		26.88		28.60		+4.69%		7.76%		2,798,310	78,865,007	0		0		
2024-11-05,二	28.50		32.91		28.35		32.10		+12.24%		15.94%		6,498,735	204,252,720	0		0		
2024-11-06,三	32.16		34.37		31.45		32.78		+2.12%		9.10%		6,741,570	222,436,800	0		0		
2024-11-07,四	32.16		42.61		31.75		42.61		+29.99%		33.13%		11,223,836	413,337,700	0		0		
2024-11-08,五	42.03		54.54		42.03		43.86		+2.93%		29.36%		14,481,125	687,608,720	0		0		
2024-11-11,一	43.00		47.37		40.40		41.50		-5.38%		15.89%		10,501,893	459,705,230	0		0		
2024-11-12,二	41.00		42.91		38.38		39.38		-5.11%		10.92%		7,200,623	288,364,980	0		0		
2024-11-13,三	39.25		45.00		37.75		44.55		+13.13%		18.41%		8,720,232	365,122,520	0		0		
2024-11-14,四	43.85		44.67		40.16		41.26		-7.38%		10.12%		5,994,094	255,674,330	0		0		
2024-11-15,五	41.26		44.65		41.02		41.93		+1.62%		8.80%		6,287,831	269,984,180	0		0		
2024-11-18,一	42.00		42.93		37.08		37.90		-9.61%		13.95%		5,348,559	210,332,170	0		0		
2024-11-19,二	37.59		40.11		35.00		40.11		+5.83%		13.48%		5,707,395	214,539,700	0		0		
2024-11-20,三	39.00		41.50		38.35		39.92		-0.47%		7.85%		5,071,813	202,532,400	0		0		
2024-11-21,四	39.92		44.76		39.16		43.00		+7.72%		14.03%		8,032,106	340,379,700	0		0		
2024-11-22,五	42.05		48.89		40.99		41.30		-3.95%		18.37%		9,745,269	436,681,700	0		0		
2024-11-25,一	41.00		45.00		39.55		45.00		+8.96%		13.20%		7,244,200	306,565,390	0		0		
2024-11-26,二	43.68		45.27		40.77		41.00		-8.89%		10.00%		5,652,917	243,188,990	0		0		
2024-11-27,三	40.00		43.97		38.00		43.15		+5.24%		14.56%		6,135,346	256,183,670	0		0		
2024-11-28,四	43.67		45.08		42.10		42.54		-1.41%		6.91%		5,526,297	241,666,430	0		0		
2024-11-29,五	42.60		46.75		40.45		44.40		+4.37%		14.81%		7,571,727	332,352,590	0		0		
2024-12-02,一	43.01		45.30		43.00		44.22		-0.41%		5.18%		5,030,373	221,695,900	0		0		
2024-12-03,二	45.37		50.88		43.28		46.69		+5.59%		17.19%		8,943,596	417,972,610	0		0		
2024-12-04,三	45.27		47.66		44.75		44.96		-3.71%		6.23%		5,799,831	266,659,120	0		0		
2024-12-05,四	45.00		45.98		43.49		43.92		-2.31%		5.54%		4,227,106	188,861,060	0		0		
2024-12-06,五	44.83		44.99		42.46		42.54		-3.14%		5.76%		3,809,433	165,416,150	0		0		
2024-12-09,一	42.51		42.86		38.45		38.48		-9.54%		10.37%		4,181,433	167,964,450	0		0		
2024-12-10,二	42.10		42.10		37.98		38.41		-0.18%		10.71%		4,046,950	161,928,460	0		0		
2024-12-11,三	37.91		38.94		36.58		37.21		-3.12%		6.14%		3,693,495	138,403,250	0		0		
2024-12-12,四	37.67		37.80		35.91		37.50		+0.78%		5.08%		2,729,627	100,857,216	0		0		
2024-12-13,五	37.03		38.35		36.11		36.95		-1.47%		5.97%		2,495,118	93,705,854	0		0		
2024-12-16,一	36.99		37.39		34.13		35.00		-5.28%		8.82%		2,666,817	94,666,097	0		0		
2024-12-17,二	35.30		35.70		34.23		35.12		+0.34%		4.20%		2,132,454	74,675,961	0		0		
2024-12-18,三	35.40		35.89		34.46		34.56		-1.59%		4.07%		1,680,421	59,146,229	0		0		
2024-12-19,四	34.00		35.92		31.43		35.63		+3.10%		12.99%		4,047,754	137,205,050	0		0		
2024-12-20,五	35.04		36.70		35.00		35.60		-0.08%		4.77%		2,871,115	102,642,096	0		0		
2024-12-23,一	35.50		35.88		32.30		32.55		-8.57%		10.06%		2,597,813	88,407,929	0		0		
2024-12-24,二	32.41		34.00		31.63		32.74		+0.58%		7.28%		1,999,941	65,029,632	0		0		
2024-12-25,三	32.70		32.80		30.47		30.47		-6.93%		7.12%		2,097,323	65,483,329	0		0		
2024-12-26,四	30.61		32.16		30.55		31.06		+1.94%		5.28%		2,235,119	69,847,842	0		0		
2024-12-27,五	31.30		32.37		30.88		31.46		+1.29%		4.80%		2,044,675	64,880,427	0		0		
2024-12-30,一	31.46		31.48		29.60		29.67		-5.69%		5.98%		1,679,122	51,164,450	0		0		
2024-12-31,二	30.00		30.96		29.30		29.30		-1.25%		5.59%		1,552,211	46,786,900	0		0		
2025-01-02,四	29.28		29.96		28.26		29.40		+0.34%		5.80%		1,550,759	45,290,169	0		0		
2025-01-03,五	29.78		30.96		29.29		30.00		+2.04%		5.68%		2,404,232	72,648,048	0		0		
2025-01-06,一	30.29		30.30		27.70		27.80		-7.33%		8.67%		2,037,772	58,792,575	0		0		
2025-01-07,二	28.10		28.49		27.01		28.48		+2.45%		5.32%		1,888,597	52,446,491	0		0		
2025-01-08,三	28.19		29.16		27.15		28.60		+0.42%		7.06%		1,928,683	54,368,403	0		0		
2025-01-09,四	28.04		29.66		28.04		29.19		+2.06%		5.66%		1,972,239	57,524,409	0		0		
2025-01-10,五	28.89		29.55		27.56		27.65		-5.28%		6.82%		1,700,174	49,219,814	0		0		
2025-01-13,一	27.46		28.58		26.70		28.20		+1.99%		6.80%		1,648,255	45,776,884	0		0		
2025-01-14,二	28.40		32.83		28.40		32.41		+14.93%		15.71%		4,808,992	148,366,710	0		0		
2025-01-15,三	32.20		32.56		31.49		31.98		-1.33%		3.30%		3,812,307	122,056,601	0		0		
2025-01-16,四	32.20		34.38		32.16		32.36		+1.19%		6.94%		3,592,856	119,282,419	0		0		
2025-01-17,五	32.50		33.30		31.67		32.30		-0.19%		5.04%		2,485,733	81,024,780	0		0		
2025-01-20,一	33.10		33.75		32.32		32.56		+0.80%		4.43%		2,111,965	69,769,029	0		0		
2025-01-21,二	33.07		33.39		31.66		32.50		-0.18%		5.31%		1,640,286	53,449,591	0		0		
2025-01-22,三	32.71		32.73		30.66		30.82		-5.17%		6.37%		1,843,830	57,900,173	0		0		
2025-01-23,四	31.65		33.66		31.30		31.82		+3.24%		7.66%		3,103,945	101,055,141	0		0		
2025-01-24,五	31.80		33.90		31.69		33.68		+5.85%		6.95%		3,547,571	117,648,664	0		0		
2025-01-27,一	34.98		35.04		31.30		31.50		-6.47%		11.10%		2,522,953	83,595,029	0		0		
2025-02-05,三	32.66		34.48		32.41		33.94		+7.75%		6.57%		3,591,902	120,383,477	0		0		
2025-02-06,四	33.16		35.74		33.01		35.69		+5.16%		8.04%		4,784,616	165,696,560	0		0		
2025-02-07,五	35.83		39.50		35.29		37.66		+5.52%		11.80%		7,165,843	267,238,170	0		0		
2025-02-10,一	38.38		42.00		37.99		42.00		+11.52%		10.65%		8,228,784	331,754,910	0		0		
2025-02-11,二	49.00		54.60		49.00		54.60		+30.00%		13.33%		8,441,026	441,246,960	0		0		
2025-02-12,三	59.88		70.98		58.88		63.02		+15.42%		22.16%		16,526,621	1,070,508,930	0		0		
2025-02-13,四	58.00		69.96		54.04		62.50		-0.83%		25.26%		13,757,983	819,851,780	0		0		
2025-02-14,五	59.00		67.80		58.01		60.34		-3.46%		15.66%		11,985,980	745,310,280	0		0		
2025-02-17,一	60.31		60.33		54.61		54.80		-9.18%		9.48%		9,344,997	533,347,500	0		0		
2025-02-18,二	53.99		55.99		52.56		55.08		+0.51%		6.26%		6,644,809	361,616,140	0		0		
2025-02-19,三	55.52		56.88		53.00		56.47		+2.52%		7.04%		7,159,135	393,727,540	0		0		
2025-02-20,四	55.01		56.80		54.32		55.30		-2.07%		4.39%		5,373,193	297,161,470	0		0		
2025-02-21,五	55.98		62.62		55.00		59.00		+6.69%		13.78%		9,040,977	528,306,440	0		0		
2025-02-24,一	57.90		58.00		54.50		54.90		-6.95%		5.93%		5,869,268	328,275,330	0		0		
2025-02-25,二	51.91		56.68		50.86		53.20		-3.10%		10.60%		4,610,978	250,292,440	0		0		
2025-02-26,三	53.68		55.29		52.00		54.41		+2.27%		6.18%		5,088,733	273,940,750	0		0		
2025-02-27,四	57.20		60.30		55.96		57.00		+4.76%		7.98%		8,376,203	484,827,290	0		0		
2025-02-28,五	55.02		57.88		51.46		52.00		-8.77%		11.26%		5,832,929	318,633,460	0		0		
2025-03-03,一	52.00		53.22		48.00		50.15		-3.56%		10.04%		5,641,331	286,240,710	0		0		
2025-03-04,二	48.18		51.90		48.16		51.63		+2.95%		7.46%		3,919,318	198,580,620	0		0		
2025-03-05,三	52.50		55.47		50.51		55.00		+6.53%		9.61%		6,540,362	347,498,360	0		0		
2025-03-06,四	55.88		57.88		53.50		55.10		+0.18%		7.96%		6,893,310	383,714,340	0		0		
2025-03-07,五	55.55		57.00		52.30		52.30		-5.08%		8.53%		4,924,100	268,897,390	0		0		
2025-03-10,一	51.50		53.10		50.50		52.64		+0.65%		4.97%		2,454,604	127,600,599	0		0		
2025-03-11,二	51.36		53.17		51.00		52.98		+0.65%		4.12%		2,313,390	120,816,108	0		0		
2025-03-12,三	53.05		54.99		53.05		53.27		+0.55%		3.66%		3,246,393	175,645,400	0		0		
2025-03-13,四	53.28		55.80		51.70		55.55		+4.28%		7.70%		4,616,797	250,414,480	0		0		
2025-03-14,五	54.78		65.56		54.18		60.00		+8.01%		20.49%		8,760,986	521,816,230	0		0		
2025-03-17,一	58.99		63.30		57.36		60.48		+0.80%		9.90%		5,022,963	304,360,590	0		0		
2025-03-18,二	60.47		60.47		57.74		58.01		-4.08%		4.51%		3,603,900	211,504,960	0		0		
2025-03-19,三	57.30		57.87		54.58		55.24		-4.78%		5.67%		2,544,327	143,321,320	0		0		
2025-03-20,四	54.50		58.31		53.87		54.02		-2.21%		8.04%		3,173,854	178,155,050	0		0		
2025-03-21,五	52.50		52.88		49.17		49.49		-8.39%		6.87%		3,448,102	174,483,110	0		0		
2025-03-24,一	49.49		51.15		48.15		51.13		+3.31%		6.06%		2,396,373	119,270,865	0		0		
2025-03-25,二	51.30		51.51		49.00		49.23		-3.72%		4.91%		1,933,095	96,899,861	0		0		
2025-03-26,三	48.89		50.50		48.49		48.49		-1.50%		4.08%		1,199,345	59,166,407	0		0		
2025-03-27,四	48.49		50.88		47.48		48.91		+0.87%		7.01%		2,442,047	120,644,014	0		0		
2025-03-28,五	49.00		49.88		48.08		48.08		-1.70%		3.68%		1,403,964	68,698,827	0		0		
2025-03-31,一	48.08		48.09		45.00		46.54		-3.20%		6.43%		2,131,723	98,326,964	0		0		
2025-04-01,二	46.90		47.30		45.48		45.50		-2.23%		3.91%		1,416,546	65,820,049	0		0		
2025-04-02,三	46.06		46.65		45.37		45.89		+0.86%		2.81%		1,168,182	53,869,424	0		0		
2025-04-03,四	45.00		46.87		44.81		46.51		+1.35%		4.49%		1,376,393	63,773,575	0		0		
2025-04-07,一	42.71		43.80		33.64		36.99		-20.47%		21.84%		3,422,375	132,987,280	0		0		
2025-04-08,二	38.06		45.88		37.42		42.96		+16.14%		22.87%		3,351,944	132,141,893	0		0		
2025-04-09,三	40.88		50.00		39.88		48.90		+13.83%		23.56%		6,269,186	293,208,640	0		0		
2025-04-10,四	46.33		51.76		46.01		49.18		+0.57%		11.76%		6,639,787	329,777,910	0		0		
2025-04-11,五	47.50		50.28		47.50		48.76		-0.85%		5.65%		3,863,395	190,095,620	0		0		
2025-04-14,一	49.00		50.99		48.98		49.36		+1.23%		4.12%		2,975,656	148,152,470	0		0		
2025-04-15,二	50.00		50.20		48.00		49.51		+0.30%		4.46%		2,249,488	110,486,839	0		0		
2025-04-16,三	48.57		50.40		47.20		50.40		+1.80%		6.46%		3,066,283	150,593,210	0		0		
2025-04-17,四	49.88		51.76		49.48		49.53		-1.73%		4.52%		2,913,168	146,775,440	0		0		
2025-04-18,五	49.50		50.48		48.40		49.70		+0.34%		4.20%		2,233,010	110,858,805	0		0		
2025-04-21,一	49.57		51.85		49.51		51.72		+4.06%		4.71%		3,209,163	163,712,690	0		0		
2025-04-22,二	51.50		54.30		50.60		50.72		-1.93%		7.15%		4,187,783	220,989,880	0		0		
2025-04-23,三	51.38		51.46		49.80		50.71		-0.02%		3.27%		3,055,629	154,574,560	0		0		
2025-04-24,四	51.10		51.83		47.56		47.60		-6.13%		8.42%		3,135,281	154,927,060	0		0		
2025-04-25,五	47.89		51.00		47.89		49.20		+3.36%		6.53%		3,160,740	156,447,250	0		0		
2025-04-28,一	50.00		50.32		47.79		47.80		-2.85%		5.14%		1,906,733	93,101,808	0		0		
2025-04-29,二	47.60		49.69		47.58		49.00		+2.51%		4.41%		1,647,843	80,832,614	0		0		
2025-04-30,三	49.90		54.89		49.10		54.87		+11.98%		11.82%		5,202,113	275,027,600	0		0		
2025-05-06,二	55.50		58.88		53.40		57.30		+4.43%		9.99%		5,621,549	318,218,840	0		0		
2025-05-07,三	58.69		60.50		54.66		56.09		-2.11%		10.19%		4,924,008	279,186,500	0		0		
2025-05-08,四	54.90		56.06		54.80		55.54		-0.98%		2.25%		2,770,463	153,651,710	0		0		
2025-05-09,五	55.00		58.98		53.87		55.15		-0.70%		9.20%		4,612,816	262,001,050	0		0		
2025-05-12,一	55.12		56.58		54.18		56.45		+2.36%		4.35%		3,535,680	196,854,460	0		0		
2025-05-13,二	56.99		57.29		54.55		54.67		-3.15%		4.85%		2,475,982	138,045,520	0		0		
2025-05-14,三	54.96		57.90		54.30		56.79		+3.88%		6.58%		4,141,577	233,509,220	0		0		
2025-05-15,四	56.65		56.84		54.25		54.25		-4.47%		4.56%		3,010,692	165,992,010	0		0		
2025-05-16,五	53.99		54.71		53.36		53.44		-1.49%		2.49%		1,958,125	105,677,780	0		0		
2025-05-19,一	53.00		53.99		52.80		53.96		+0.97%		2.23%		1,622,391	86,768,180	0		0		
2025-05-20,二	54.42		54.53		53.50		53.94		-0.04%		1.91%		1,852,553	100,044,255	0		0		
2025-05-21,三	54.24		54.50		53.30		53.38		-1.04%		2.22%		1,496,216	80,557,057	0		0		
2025-05-22,四	53.20		53.63		49.80		49.90		-6.52%		7.17%		2,882,047	147,240,110	0		0		
2025-05-23,五	49.75		50.79		49.03		49.30		-1.20%		3.53%		1,426,017	71,120,034	0		0		
2025-05-26,一	49.20		50.48		49.20		50.31		+2.05%		2.60%		1,172,367	58,709,650	0		0		
2025-05-27,二	50.38		51.50		50.06		50.58		+0.54%		2.86%		1,248,222	63,308,530	0		0		
2025-05-28,三	50.08		51.28		49.35		49.68		-1.78%		3.82%		1,087,727	54,467,958	0		0		
2025-05-29,四	49.97		52.17		49.67		52.07		+4.81%		5.03%		2,258,003	116,072,669	0		0		
2025-05-30,五	52.16		52.35		50.44		51.00		-2.05%		3.67%		1,650,067	84,598,792	0		0		
2025-06-03,二	51.90		52.10		50.13		50.28		-1.41%		3.86%		1,463,183	74,677,985	0		0		
2025-06-04,三	50.77		51.23		50.12		50.34		+0.12%		2.21%		1,057,136	53,411,837	0		0		
2025-06-05,四	50.41		51.96		50.20		51.63		+2.56%		3.50%		2,150,281	110,003,868	0		0		
2025-06-06,五	51.30		53.14		50.84		52.11		+0.93%		4.45%		2,465,590	128,107,365	0		0		
2025-06-09,一	52.18		52.89		51.60		52.26		+0.29%		2.48%		1,754,457	91,751,294	0		0		
2025-06-10,二	52.78		52.78		49.41		50.15		-4.04%		6.45%		2,015,164	102,601,741	0		0		
2025-06-11,三	50.39		51.39		49.84		50.35		+0.40%		3.09%		1,270,383	64,201,762	0		0		
2025-06-12,四	50.01		50.79		49.88		50.30		-0.10%		1.81%		1,208,408	60,865,219	0		0		
2025-06-13,五	50.58		51.95		49.68		49.72		-1.15%		4.51%		2,043,050	103,875,426	0		0		
2025-06-16,一	50.76		53.04		49.22		53.04		+6.68%		7.68%		3,487,317	180,914,120	0		0		
2025-06-17,二	53.60		53.70		52.03		52.20		-1.58%		3.15%		2,231,260	117,410,729	0		0		
2025-06-18,三	51.91		52.48		50.80		51.91		-0.56%		3.22%		1,520,780	78,529,604	0		0		
2025-06-19,四	52.26		52.34		49.61		50.15		-3.39%		5.26%		1,609,711	81,542,651	0		0		
2025-06-20,五	50.33		50.74		48.55		48.80		-2.69%		4.37%		983,237		48,541,116	0		0		
2025-06-23,一	34.99		36.60		34.38		36.36		-25.49%		4.55%		2,118,308	75,530,084	0		0		
2025-06-24,二	36.86		38.09		36.11		36.80		+1.21%		5.45%		4,088,206	151,444,690	0		0		
2025-06-25,三	36.88		39.95		36.51		39.43		+7.15%		9.35%		7,112,691	273,642,120	0		0		
2025-06-26,四	39.50		39.84		38.17		38.24		-3.02%		4.24%		4,932,513	191,678,320	0		0		
2025-06-27,五	38.25		39.76		38.05		38.56		+0.84%		4.47%		3,946,457	153,236,670	0		0		
2025-06-30,一	38.73		38.99		38.16		38.58		+0.05%		2.15%		2,815,530	108,337,507	0		0		
2025-07-01,二	38.40		39.40		37.70		38.30		-0.73%		4.41%		3,081,903	118,599,058	0		0		
2025-07-02,三	37.87		38.24		36.72		36.95		-3.52%		3.97%		2,683,397	100,123,045	0		0		
2025-07-03,四	37.10		37.40		36.60		36.89		-0.16%		2.17%		1,342,051	49,558,476	0		0		
2025-07-04,五	36.82		37.42		36.09		36.12		-2.09%		3.61%		2,044,069	75,160,546	0		0		
2025-07-07,一	36.00		36.60		36.00		36.23		+0.30%		1.66%		1,129,085	40,979,518	0		0		
2025-07-08,二	36.30		37.05		36.23		36.97		+2.04%		2.26%		1,677,151	61,584,481	0		0		
2025-07-09,三	36.97		37.28		36.24		36.36		-1.65%		2.81%		1,575,461	57,897,369	0		0		
2025-07-10,四	36.40		36.65		35.47		36.30		-0.17%		3.25%		1,615,364	58,253,197	0		0		
2025-07-11,五	36.48		37.96		36.31		37.79		+4.10%		4.55%		4,115,688	153,875,280	0		0		
2025-07-14,一	37.69		37.91		36.80		36.89		-2.38%		2.94%		2,377,140	88,291,271	0		0		
2025-07-15,二	37.00		37.68		36.08		37.48		+1.60%		4.34%		2,513,746	92,861,480	0		0		
2025-07-16,三	37.50		37.93		36.73		36.76		-1.92%		3.20%		2,245,811	83,643,330	0		0		
2025-07-17,四	36.50		39.25		36.37		37.99		+3.35%		7.83%		5,010,841	190,187,050	0		0		
2025-07-18,五	37.44		38.39		37.29		37.53		-1.21%		2.90%		2,910,689	109,774,305	0		0		
2025-07-21,一	37.11		37.39		36.88		37.17		-0.96%		1.36%		2,424,588	89,885,878	0		0		
2025-07-22,二	36.90		37.34		36.50		36.58		-1.59%		2.26%		2,349,984	86,208,744	0		0		
2025-07-23,三	36.15		36.95		36.08		36.54		-0.11%		2.38%		1,888,383	68,976,786	0		0		
2025-07-24,四	36.55		36.85		36.44		36.56		+0.05%		1.12%		1,526,699	55,870,507	0		0		
2025-07-25,五	36.82		38.95		36.61		37.71		+3.15%		6.40%		5,410,803	204,628,570	0		0		
2025-07-28,一	38.00		38.40		37.01		37.38		-0.88%		3.69%		3,018,581	112,731,987	0		0		
2025-07-29,二	37.38		37.38		36.61		37.02		-0.96%		2.06%		1,820,439	67,249,098	0		0		
2025-07-30,三	37.38		37.38		36.09		36.31		-1.92%		3.48%		2,090,316	76,572,280	0		0		
2025-07-31,四	36.18		37.15		36.16		36.36		+0.14%		2.73%		1,930,257	70,734,746	0		0		
2025-08-01,五	36.55		37.87		36.06		37.74		+3.80%		4.98%		4,209,670	156,606,230	0		0		
2025-08-04,一	37.20		38.46		37.20		38.46		+1.91%		3.34%		4,525,481	172,144,250	0		0		
2025-08-05,二	38.06		38.20		37.38		37.82		-1.66%		2.13%		3,129,608	118,107,339	0		0		
2025-08-06,三	37.65		38.12		37.33		37.91		+0.24%		2.09%		3,361,251	126,905,440	0		0		
2025-08-07,四	37.93		38.10		37.21		37.43		-1.27%		2.35%		2,613,852	98,328,487	0		0		
2025-08-08,五	37.03		37.35		36.50		36.50		-2.48%		2.27%		2,424,057	89,004,874	0		0		
2025-08-11,一	36.51		37.01		36.30		36.80		+0.82%		1.95%		1,504,944	55,355,553	0		0		
2025-08-12,二	36.83		37.01		36.50		36.79		-0.03%		1.39%		1,557,678	57,208,101	0		0		
2025-08-13,三	36.82		38.32		36.51		37.35		+1.52%		4.92%		4,391,558	165,109,580	0		0		
2025-08-14,四	37.00		37.35		36.15		36.15		-3.21%		3.21%		3,149,864	115,592,307	0		0		
2025-08-15,五	36.21		37.75		36.11		37.72		+4.34%		4.54%		3,897,907	145,094,840	0		0		
2025-08-18,一	38.00		43.32		37.35		41.69		+10.52%		15.83%		9,110,217	365,156,520	0		0		
2025-08-19,二	42.80		45.86		40.73		40.78		-2.18%		12.31%		10,726,329	462,355,280	0		0		
2025-08-20,三	40.47		41.85		40.02		41.33		+1.35%		4.49%		5,808,341	238,298,850	0		0		
2025-08-21,四	41.30		44.37		41.20		41.82		+1.19%		7.67%		5,611,965	238,413,360	0		0		
2025-08-22,五	41.99		43.99		41.46		43.71		+4.52%		6.05%		6,123,439	260,777,080	0		0		
2025-08-25,一	43.72		44.33		42.42		42.86		-1.94%		4.37%		5,657,486	243,710,480	0		0		
2025-08-26,二	42.58		44.88		42.46		42.99		+0.30%		5.65%		4,987,728	217,430,870	0		0		
2025-08-27,三	44.45		45.36		41.08		41.11		-4.37%		9.96%		5,771,217	247,528,320	0		0		
2025-08-28,四	40.52		41.40		39.18		40.63		-1.17%		5.40%		4,641,730	186,821,080	0		0		
2025-08-29,五	41.80		41.96		40.00		40.10		-1.30%		4.82%		2,979,897	121,480,911	0		0		
2025-09-01,一	40.07		40.54		39.24		39.38		-1.80%		3.24%		2,626,728	104,043,329	0		0		
2025-09-02,二	39.40		39.40		37.33		38.08		-3.30%		5.26%		3,945,200	149,900,830	0		0		
2025-09-03,三	38.20		38.35		37.20		37.34		-1.94%		3.02%		1,893,310	71,413,163	0		0		
2025-09-04,四	37.18		38.10		37.18		37.90		+1.50%		2.46%		2,491,281	94,001,258	0		0		
2025-09-05,五	38.33		39.43		37.70		39.37		+3.88%		4.56%		2,862,738	110,908,323	0		0		
2025-09-08,一	39.40		39.50		38.51		38.88		-1.24%		2.51%		2,212,341	85,958,166	0		0		
2025-09-09,二	38.99		38.99		37.27		37.30		-4.06%		4.42%		2,357,017	88,911,682	0		0		
2025-09-10,三	37.53		37.77		36.86		36.93		-0.99%		2.44%		1,283,489	47,889,232	0		0		
2025-09-11,四	37.25		38.30		37.09		38.09		+3.14%		3.28%		1,985,727	75,008,812	0		0		
2025-09-12,五	38.40		38.48		37.20		37.39		-1.84%		3.36%		2,148,815	81,117,800	0		0		
2025-09-15,一	37.40		37.75		37.07		37.23		-0.43%		1.82%		1,239,446	46,287,364	0		0		
2025-09-16,二	37.39		37.76		36.80		37.71		+1.29%		2.58%		1,423,472	53,170,777	0		0		
2025-09-17,三	37.80		37.89		37.31		37.47		-0.64%		1.54%		1,599,867	60,083,415	0		0		
2025-09-18,四	37.60		38.36		36.63		37.03		-1.17%		4.62%		2,442,197	91,874,306	0		0		
2025-09-19,五	37.20		37.20		36.01		36.05		-2.65%		3.21%		2,076,717	75,769,351	0		0		
2025-09-22,一	36.38		36.54		35.88		36.13		+0.22%		1.83%		1,103,045	39,872,058	0		0		
2025-09-23,二	36.12		36.12		33.65		34.25		-5.20%		6.84%		2,358,530	81,376,230	0		0		
2025-09-24,三	34.18		35.40		34.18		35.19		+2.74%		3.56%		1,561,060	54,519,748	0		0		
2025-09-25,四	35.18		37.03		35.03		36.16		+2.76%		5.68%		2,532,748	92,010,769	0		0		
2025-09-26,五	35.90		36.34		34.77		34.82		-3.71%		4.34%		1,502,494	52,928,495	0		0		
2025-09-29,一	34.88		35.59		34.38		34.96		+0.40%		3.48%		1,160,175	40,581,254	0		0		
2025-09-30,二	35.00		35.49		34.56		34.56		-1.14%		2.66%		1,149,778	40,199,722	0		0		
2025-10-09,四	34.40		34.88		33.80		34.67		+0.32%		3.13%		1,488,747	51,008,399	0		0		
2025-10-10,五	34.56		34.91		34.01		34.11		-1.62%		2.60%		1,116,779	38,447,679	0		0		
2025-10-13,一	33.99		40.93		33.30		38.08		+11.64%		22.37%		6,308,249	237,735,700	0		0		
2025-10-14,二	36.16		37.78		36.05		37.76		-0.84%		4.54%		4,513,680	166,058,140	0		0		
2025-10-15,三	37.19		40.96		36.66		39.70		+5.14%		11.39%		7,096,824	279,730,370	0		0		
2025-10-16,四	38.30		39.81		37.53		39.00		-1.76%		5.74%		4,747,515	182,112,050	0		0		
2025-10-17,五	38.52		38.99		36.70		36.82		-5.59%		5.87%		2,829,800	106,580,051	0		0		
2025-10-20,一	36.82		37.90		36.43		36.53		-0.79%		3.99%		2,105,106	77,809,100	0		0		
2025-10-21,二	36.30		37.00		35.40		36.65		+0.33%		4.38%		2,710,041	97,828,494	0		0		
2025-10-22,三	36.36		36.83		35.71		35.74		-2.48%		3.06%		2,041,951	73,796,650	0		0		
2025-10-23,四	36.16		38.30		36.16		38.16		+6.77%		5.99%		4,895,802	183,300,080	0		0		
2025-10-24,五	37.00		37.99		36.99		37.52		-1.68%		2.62%		3,310,667	123,876,113	0		0		
2025-10-27,一	37.53		37.70		36.68		36.85		-1.79%		2.72%		2,395,775	88,572,304	0		0		
2025-10-28,二	36.56		38.30		36.54		37.40		+1.49%		4.78%		2,914,928	109,616,839	0		0		
