时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2023-11-22,三	13.39		16.47		13.35		16.28		+18.49%		22.71%		9,323,201	140,177,860	0		0		
2023-11-23,四	15.99		17.48		14.52		14.89		-8.54%		18.18%		8,615,003	136,263,600	0		0		
2023-11-24,五	14.68		16.88		14.61		16.34		+9.74%		15.25%		7,368,811	116,802,386	0		0		
2023-11-27,一	17.00		18.88		16.56		18.40		+12.61%		14.20%		8,721,169	153,228,170	0		0		
2023-11-28,二	17.00		19.30		16.63		17.30		-5.98%		14.51%		6,456,486	113,784,962	0		0		
2023-11-29,三	17.30		17.99		15.26		15.36		-11.21%		15.78%		4,839,410	79,933,700	0		0		
2023-11-30,四	15.33		15.92		14.62		14.97		-2.54%		8.46%		3,193,787	48,517,635	0		0		
2023-12-01,五	15.08		15.45		14.21		14.42		-3.67%		8.28%		2,648,091	38,773,301	0		0		
2023-12-04,一	14.40		15.95		14.10		15.10		+4.72%		12.83%		3,508,051	53,342,211	0		0		
2023-12-05,二	14.66		16.68		14.63		16.30		+7.95%		13.58%		4,976,387	78,964,492	0		0		
2023-12-06,三	16.01		16.93		15.60		15.79		-3.13%		8.16%		3,301,778	53,376,356	0		0		
2023-12-07,四	15.68		18.38		15.68		17.50		+10.83%		17.10%		6,995,919	122,090,743	0		0		
2023-12-08,五	17.50		19.90		16.81		17.75		+1.43%		17.66%		6,724,784	124,048,443	0		0		
2023-12-11,一	17.78		19.30		16.36		18.36		+3.44%		16.56%		6,132,989	109,022,858	0		0		
2023-12-12,二	18.02		19.52		17.70		19.30		+5.12%		9.91%		5,935,874	112,053,181	0		0		
2023-12-13,三	19.25		20.41		18.42		19.69		+2.02%		10.31%		6,318,396	122,688,469	0		0		
2023-12-14,四	19.48		20.15		17.88		17.99		-8.63%		11.53%		7,062,967	135,418,150	0		0		
2023-12-15,五	17.79		18.59		17.70		18.25		+1.45%		4.95%		3,520,069	64,214,230	0		0		
2023-12-18,一	18.67		19.67		18.38		19.29		+5.70%		7.07%		4,127,105	79,071,891	0		0		
2023-12-19,二	19.09		19.92		18.75		19.46		+0.88%		6.07%		3,220,539	62,322,500	0		0		
2023-12-20,三	19.20		20.60		19.10		20.00		+2.77%		7.71%		4,150,749	82,334,835	0		0		
2023-12-21,四	20.00		20.89		16.66		17.12		-14.40%		21.15%		4,933,306	92,465,021	0		0		
2023-12-22,五	17.10		17.85		16.90		17.64		+3.04%		5.55%		2,591,667	45,080,353	0		0		
2023-12-25,一	17.85		18.48		17.52		18.48		+4.76%		5.44%		2,324,835	42,027,506	0		0		
2023-12-26,二	18.48		18.58		16.98		17.93		-2.98%		8.66%		3,321,336	59,542,974	0		0		
2023-12-27,三	17.79		18.87		17.48		18.30		+2.06%		7.75%		2,737,797	50,223,748	0		0		
2023-12-28,四	18.10		18.66		17.75		18.36		+0.33%		4.97%		2,369,789	43,211,877	0		0		
2023-12-29,五	18.07		19.10		18.00		18.98		+3.38%		5.99%		3,051,600	57,353,903	0		0		
2024-01-02,二	19.00		20.20		18.58		19.75		+4.06%		8.54%		3,479,578	67,960,194	0		0		
2024-01-03,三	19.70		20.39		19.13		20.05		+1.52%		6.38%		3,097,632	61,518,416	0		0		
2024-01-04,四	20.10		20.55		19.00		19.99		-0.30%		7.73%		3,149,063	62,561,016	0		0		
2024-01-05,五	19.83		21.88		19.04		19.95		-0.20%		14.21%		6,018,097	123,088,623	0		0		
2024-01-08,一	19.49		19.78		18.08		18.08		-9.37%		8.52%		3,463,335	65,718,489	0		0		
2024-01-09,二	18.45		18.49		16.53		17.00		-5.97%		10.84%		3,514,866	61,021,414	0		0		
2024-01-10,三	17.10		17.27		16.38		17.00		+0.00%		5.24%		2,054,434	34,648,930	0		0		
2024-01-11,四	17.15		19.58		16.88		18.91		+11.24%		15.88%		5,247,589	97,659,529	0		0		
2024-01-12,五	18.22		18.39		16.01		16.05		-15.12%		12.59%		4,723,043	81,744,367	0		0		
2024-01-15,一	15.80		16.46		15.40		15.81		-1.50%		6.60%		2,183,421	34,617,879	0		0		
2024-01-16,二	16.00		16.96		15.14		16.83		+6.45%		11.51%		3,324,066	53,762,056	0		0		
2024-01-17,三	16.48		18.05		16.40		16.90		+0.42%		9.80%		3,614,078	62,751,038	0		0		
2024-01-18,四	16.78		18.37		16.14		17.98		+6.39%		13.20%		3,451,828	60,373,923	0		0		
2024-01-19,五	18.20		18.58		17.62		18.16		+1.00%		5.34%		3,293,331	59,618,032	0		0		
2024-01-22,一	18.08		18.08		16.88		17.14		-5.62%		6.61%		2,144,298	37,560,516	0		0		
2024-01-23,二	16.91		17.88		16.90		17.79		+3.79%		5.72%		2,020,209	35,528,442	0		0		
2024-01-24,三	17.66		18.01		16.50		17.80		+0.06%		8.49%		2,445,480	42,246,093	0		0		
2024-01-25,四	17.53		17.88		16.69		16.78		-5.73%		6.69%		2,341,331	40,352,211	0		0		
2024-01-26,五	16.75		17.50		16.35		16.37		-2.44%		6.85%		1,675,604	28,356,928	0		0		
2024-01-29,一	16.70		16.70		14.10		14.52		-11.30%		15.88%		2,077,364	31,842,739	0		0		
2024-01-30,二	14.30		14.89		13.90		14.33		-1.31%		6.82%		1,116,797	16,071,070	0		0		
2024-01-31,三	14.41		15.08		14.14		14.51		+1.26%		6.56%		1,458,094	21,284,949	0		0		
2024-02-01,四	14.14		14.55		13.50		13.59		-6.34%		7.24%		1,330,647	18,674,783	0		0		
2024-02-02,五	13.70		13.70		12.21		12.65		-6.92%		10.96%		1,990,893	25,657,722	0		0		
2024-02-05,一	12.40		12.86		11.22		12.41		-1.90%		12.96%		1,528,750	18,532,478	0		0		
2024-02-06,二	12.31		13.50		12.07		13.49		+8.70%		11.52%		2,078,509	27,264,392	0		0		
2024-02-07,三	13.47		14.46		13.38		13.79		+2.22%		8.01%		2,640,180	36,856,576	0		0		
2024-02-08,四	13.80		13.95		12.30		13.61		-1.31%		11.97%		1,790,823	23,930,026	0		0		
2024-02-19,一	13.85		14.63		13.83		14.39		+5.73%		5.88%		2,196,874	31,396,847	0		0		
2024-02-20,二	14.44		15.25		14.04		14.93		+3.75%		8.41%		2,498,945	36,830,853	0		0		
2024-02-21,三	14.66		15.35		14.40		14.63		-2.01%		6.36%		2,199,861	32,725,784	0		0		
2024-02-22,四	14.79		15.15		14.50		14.60		-0.21%		4.44%		1,697,664	25,055,336	0		0		
2024-02-23,五	14.60		14.75		14.30		14.64		+0.27%		3.08%		1,892,922	27,474,202	0		0		
2024-02-26,一	14.52		14.80		14.16		14.52		-0.82%		4.37%		1,461,920	21,196,223	0		0		
2024-02-27,二	14.40		15.63		14.32		15.63		+7.64%		9.02%		2,838,475	42,789,043	0		0		
2024-02-28,三	15.80		16.48		14.55		14.61		-6.53%		12.35%		3,061,469	47,978,285	0		0		
2024-02-29,四	14.60		15.35		14.58		15.19		+3.97%		5.27%		2,240,363	33,504,154	0		0		
2024-03-01,五	15.34		15.66		14.93		15.55		+2.37%		4.81%		2,336,053	35,569,592	0		0		
2024-03-04,一	15.95		17.39		15.61		16.01		+2.96%		11.45%		4,430,116	72,880,711	0		0		
2024-03-05,二	15.58		15.69		15.00		15.00		-6.31%		4.31%		2,953,098	45,001,875	0		0		
2024-03-06,三	14.90		15.35		14.90		15.01		+0.07%		3.00%		1,726,952	26,115,272	0		0		
2024-03-07,四	15.15		15.36		14.44		14.51		-3.33%		6.13%		1,756,186	26,334,124	0		0		
2024-03-08,五	14.51		14.74		14.22		14.65		+0.96%		3.58%		1,091,958	15,781,593	0		0		
2024-03-11,一	14.51		14.95		14.28		14.82		+1.16%		4.57%		1,133,996	16,573,534	0		0		
2024-03-12,二	14.90		15.05		14.65		14.82		+0.00%		2.70%		900,991		13,344,225	0		0		
2024-03-13,三	14.90		16.26		14.90		15.16		+2.29%		9.18%		3,661,351	57,413,608	0		0		
2024-03-14,四	14.80		14.95		14.31		14.44		-4.75%		4.22%		2,864,117	41,804,111	0		0		
2024-03-15,五	14.42		16.63		14.33		15.40		+6.65%		15.93%		4,533,456	70,649,240	0		0		
2024-03-18,一	15.05		15.98		14.82		15.60		+1.30%		7.53%		3,325,194	51,009,917	0		0		
2024-03-19,二	15.54		15.74		15.25		15.28		-2.05%		3.14%		1,456,418	22,431,443	0		0		
